SAMPLE_N,5hmC_ID,5mC_ID
SAMPLE_0504,lung-P01LA655,lung-M65-P01LA655
SAMPLE_0505,lung-P01LA656,lung-M19-P01LA656
SAMPLE_0506,lung-P01LA657,lung-M223-P01LA657
SAMPLE_0507,lung-P01LA659,lung-M223-P01LA659
SAMPLE_0508,lung-P01LA660,lung-M189-P01LA660
SAMPLE_0509,lung-P01LA661,lung-M223-P01LA661
SAMPLE_0510,lung-P01LA662,lung-M159-P01LA662
SAMPLE_0511,lung-P01LA663,lung-M11-P01LA663
SAMPLE_0512,lung-P01LA664,lung-M211-P01LA664
SAMPLE_0513,lung-P01LA665,lung-M23-P01LA665
SAMPLE_0514,lung-P01LA666,lung-M63-P01LA666
SAMPLE_0515,lung-P01LA668,lung-M9-P01LA668
SAMPLE_0516,lung-P01LA670,lung-M210-P01LA670
SAMPLE_0517,lung-P01LA671,lung-M188-P01LA671
SAMPLE_0518,lung-P01LA672,lung-M204-P01LA672
SAMPLE_0519,lung-P01LA674,lung-M219-P01LA674
SAMPLE_0520,lung-P01LA676,lung-M211-P01LA676
SAMPLE_0521,lung-P01LA677,lung-M209-P01LA677
SAMPLE_0522,lung-P01LA678,lung-M17-P01LA678
SAMPLE_0523,lung-P01LA679,lung-M18-P01LA679
SAMPLE_0524,lung-P01LA681,lung-M159-P01LA681
SAMPLE_0525,lung-P01LA683,lung-M6-P01LA683
SAMPLE_0526,lung-P01LA684,lung-M210-P01LA684
SAMPLE_0527,lung-P01LA685,lung-M159-P01LA685
SAMPLE_0528,lung-P01LA686,lung-M167-P01LA686
SAMPLE_0529,lung-P01LA687,lung-M23-P01LA687
SAMPLE_0530,lung-P01LA688,lung-M215-P01LA688
SAMPLE_0531,lung-P01LA690,lung-M7-P01LA690
SAMPLE_0532,lung-P01LA693,lung-M12-P01LA693
SAMPLE_0533,lung-P01LA694,lung-M41-P01LA694
SAMPLE_0534,lung-P01LA695,lung-M26-P01LA695
SAMPLE_0535,lung-P01LA696,lung-M104-P01LA696
SAMPLE_0536,lung-P01LA697,lung-M35-P01LA697
SAMPLE_0537,lung-P01LA699,lung-M217-P01LA699
SAMPLE_0538,lung-P01LA700,lung-M203-P01LA700
SAMPLE_0539,lung-P01LA702,lung-M18-P01LA702
SAMPLE_0540,lung-P01LA703,lung-M15-P01LA703
SAMPLE_0541,lung-P01LA706,lung-M157-P01LA706
SAMPLE_0542,lung-P01LA707,lung-M9-P01LA707
SAMPLE_0543,lung-P01LA708,lung-M8-P01LA708
SAMPLE_0544,lung-P01LA709,lung-M8-P01LA709
SAMPLE_0545,lung-P01LA710,lung-M216-P01LA710
SAMPLE_0546,lung-P01LA711,lung-M40-P01LA711
SAMPLE_0547,lung-P01LA715,lung-M48-P01LA715
SAMPLE_0548,lung-P01LA717,lung-M45-P01LA717
SAMPLE_0549,lung-P01LA718,lung-M4-P01LA718
SAMPLE_0550,lung-P01LA829,lung-M208-P01LA829
SAMPLE_0551,lung-P01LA831,lung-M19-P01LA831
SAMPLE_0552,lung-P01LA832,lung-M234-P01LA832
SAMPLE_0553,lung-P01LA834,lung-M21-P01LA834
SAMPLE_0554,lung-P01LA835,lung-M19-P01LA835
SAMPLE_0555,lung-P01LA838,lung-M1-P01LA838
SAMPLE_0556,lung-P01LA841,lung-M17-P01LA841
SAMPLE_0557,lung-P01LA844,lung-M211-P01LA844
SAMPLE_0558,lung-P01LA852,lung-M209-P01LA852
SAMPLE_0559,lung-P01LA854,lung-M211-P01LA854
SAMPLE_0560,lung-P01LA859,lung-M222-P01LA859
SAMPLE_0561,lung-P01LA861,lung-M209-P01LA861
SAMPLE_0562,lung-P01LA864,lung-M217-P01LA864
SAMPLE_0563,lung-P01LA865,lung-M80-P01LA865
SAMPLE_0564,lung-P01LA868,lung-M27-P01LA868
SAMPLE_0565,lung-P01LA870,lung-M81-P01LA870
SAMPLE_0566,lung-P01LA871,lung-M3-P01LA871
SAMPLE_0567,lung-P01LA872,lung-M25-P01LA872
SAMPLE_0568,lung-P01LA873,lung-M1-P01LA873
SAMPLE_0569,lung-P01LA874,lung-M6-P01LA874
SAMPLE_0570,lung-P01LA875,lung-M3-P01LA875
SAMPLE_0571,lung-P01LA876,lung-M20-P01LA876
SAMPLE_0572,lung-P01LA877,lung-M15-P01LA877
SAMPLE_0573,lung-P01LA878,lung-M157-P01LA878
SAMPLE_0574,lung-P01LA879,lung-M233-P01LA879
SAMPLE_0575,lung-P01LA880,lung-M20-P01LA880
SAMPLE_0576,lung-P01LA882,lung-M202-P01LA882
SAMPLE_0577,lung-P01LA883,lung-M208-P01LA883
SAMPLE_0578,lung-P01LA884,lung-M1-P01LA884
SAMPLE_0579,lung-P01LA885,lung-M202-P01LA885
SAMPLE_0580,lung-P01LA886,lung-M81-P01LA886
SAMPLE_0581,lung-P01LA889,lung-M63-P01LA889
SAMPLE_0582,lung-P01LA891,lung-M224-P01LA891
SAMPLE_0583,lung-P01LA893,lung-M208-P01LA893
SAMPLE_0584,lung-P01LA895,lung-M22-P01LA895
SAMPLE_0585,lung-P01LA896,lung-M223-P01LA896
SAMPLE_0586,lung-P01LA897,lung-M176-P01LA897
SAMPLE_0587,lung-P01LA898,lung-M217-P01LA898
SAMPLE_0588,lung-P01LA902,lung-M63-P01LA902
SAMPLE_0589,lung-P01LA905,lung-M63-P01LA905
SAMPLE_0590,lung-P01LA909,lung-M7-P01LA909
SAMPLE_0591,lung-P01LA912,lung-M223-P01LA912
SAMPLE_0592,lung-P01LA914,lung-M5-P01LA914
SAMPLE_0593,lung-P01LA919,lung-M216-P01LA919
SAMPLE_0594,lung-P01LA920,lung-M4-P01LA920
SAMPLE_0595,lung-P01LA921,lung-M217-P01LA921
SAMPLE_0596,lung-P01LA924,lung-M22-P01LA924
SAMPLE_0597,lung-P01LA925,lung-M208-P01LA925
SAMPLE_0598,lung-P01LA928,lung-M17-P01LA928
SAMPLE_0599,lung-P01LA931,lung-M37-P01LA931
SAMPLE_0600,lung-P01LA932,lung-M208-P01LA932
SAMPLE_0601,lung-P01LA935,lung-M209-P01LA935
SAMPLE_0602,lung-P01LA937,lung-M167-P01LA937
SAMPLE_0603,lung-P01LA939,lung-M5-P01LA939
SAMPLE_0604,lung-P01LA940,lung-M210-P01LA940
SAMPLE_0605,lung-P01LA941,lung-M12-P01LA941
SAMPLE_0606,lung-P01LA943,lung-M209-P01LA943
SAMPLE_0607,lung-P01LA945,lung-M26-P01LA945
SAMPLE_0608,lung-P01LA946,lung-M224-P01LA946
SAMPLE_0609,lung-P01LA949,lung-M27-P01LA949
SAMPLE_0610,lung-P01LA951,lung-M3-P01LA951
SAMPLE_0611,lung-P01LA952,lung-M223-P01LA952
SAMPLE_0612,lung-P01LA953,lung-M169-P01LA953
SAMPLE_0613,lung-P01LA954,lung-M205-P01LA954
SAMPLE_0614,lung-P01LA955,lung-M167-P01LA955
SAMPLE_0615,lung-P01LA959,lung-M175-P01LA959
SAMPLE_0616,lung-P01LA960,lung-M208-P01LA960
SAMPLE_0617,lung-P01LA961,lung-M217-P01LA961
SAMPLE_0618,lung-P01LA962,lung-M160-P01LA962
SAMPLE_0619,lung-P01LA963,lung-M191-P01LA963
SAMPLE_0620,lung-P01LA965,lung-M159-P01LA965
SAMPLE_0621,lung-P01LA967,lung-M190-P01LA967
SAMPLE_0622,lung-P01LA969,lung-M190-P01LA969
SAMPLE_0623,lung-P01LA970,lung-M218-P01LA970
SAMPLE_0624,lung-P01LA973,lung-M210-P01LA973
SAMPLE_0625,lung-P01LA975,lung-M169-P01LA975
SAMPLE_0626,lung-P01LA978,lung-M211-P01LA978
SAMPLE_0627,lung-P01LA979,lung-M162-P01LA979
SAMPLE_0628,lung-P01LA980,lung-M224-P01LA980
SAMPLE_0629,lung-P01LA982,lung-M232-P01LA982
SAMPLE_0630,lung-P01LA984,lung-M222-P01LA984
SAMPLE_0631,lung-P01LA985,lung-M169-P01LA985
SAMPLE_0632,lung-P01LA986,lung-M40-P01LA986
SAMPLE_0633,lung-P01LA987,lung-M3-P01LA987
SAMPLE_0634,lung-P01LA995,lung-M171-P01LA995
SAMPLE_0635,lung-P01LA997,lung-M191-P01LA997
SAMPLE_0636,lung-P01LA998,lung-M1-P01LA998
SAMPLE_0637,lung-P01LB001,lung-M34-P01LB001
SAMPLE_0638,lung-P01LB003,lung-M205-P01LB003
SAMPLE_0639,lung-P01LB004,lung-M158-P01LB004
SAMPLE_0640,lung-P01LB007,lung-M216-P01LB007
SAMPLE_0641,lung-P01LB009,lung-M251-P01LB009
SAMPLE_0642,lung-P01LB010,lung-M251-P01LB010
SAMPLE_0643,lung-P01LB013,lung-M14-P01LB013
SAMPLE_0644,lung-P01LB014,lung-M210-P01LB014
SAMPLE_0645,lung-P01LB015,lung-M12-P01LB015
SAMPLE_0646,lung-P01LB016,lung-M238-P01LB016
SAMPLE_0647,lung-P01LB017,lung-M216-P01LB017
SAMPLE_0648,lung-P01LB018,lung-M216-P01LB018
SAMPLE_0649,lung-P01LB019,lung-M222-P01LB019
SAMPLE_0650,lung-P01LB020,lung-M36-P01LB020
SAMPLE_0651,lung-P01LB022,lung-M238-P01LB022
SAMPLE_0652,lung-P01LB024,lung-M37-P01LB024
SAMPLE_0653,lung-P01LB028,lung-M70-P01LB028
SAMPLE_0654,lung-P01LB029,lung-M62-P01LB029
SAMPLE_0655,lung-P01LB030,lung-M221-P01LB030
SAMPLE_0656,lung-P01LB033,lung-M9-P01LB033
SAMPLE_0657,lung-P01LB034,lung-M19-P01LB034
