SAMPLE_N,5hmC_ID,5mC_ID
SAMPLE_1146,lung-P01LB989,lung-M39-P01LB989
SAMPLE_1147,lung-P01LB991,lung-M247-P01LB991
SAMPLE_1148,lung-P01LB992,lung-M142-P01LB992
SAMPLE_1149,lung-P01LB994,lung-M197-P01LB994
SAMPLE_1150,lung-P01LB995,lung-M178-P01LB995
SAMPLE_1151,lung-P01LB996,lung-M32-P01LB996
SAMPLE_1152,lung-P01LB999,lung-M243-P01LB999
SAMPLE_1153,lung-P01LC002,lung-M187-P01LC002
SAMPLE_1154,lung-P01LC003,lung-M39-P01LC003
SAMPLE_1155,lung-P01LC004,lung-M14-P01LC004
SAMPLE_1156,lung-P01LC005,lung-M197-P01LC005
SAMPLE_1157,lung-P01LC007,lung-M31-P01LC007
SAMPLE_1158,lung-P01LC008,lung-M195-P01LC008
SAMPLE_1159,lung-P01LC009,lung-M190-P01LC009
SAMPLE_1160,lung-P01LC010,lung-M243-P01LC010
SAMPLE_1161,lung-P01LC011,lung-M10-P01LC011
SAMPLE_1162,lung-P01LC012,lung-M24-P01LC012
SAMPLE_1163,lung-P01LC013,lung-M243-P01LC013
SAMPLE_1164,lung-P01LC015,lung-M8-P01LC015
SAMPLE_1165,lung-P01LC019,lung-M5-P01LC019
SAMPLE_1166,lung-P01LC021,lung-M225-P01LC021
SAMPLE_1167,lung-P01LC022,lung-M11-P01LC022
SAMPLE_1168,lung-P01LC024,lung-M31-P01LC024
SAMPLE_1169,lung-P01LC025,lung-M46-P01LC025
SAMPLE_1170,lung-P01LC026,lung-M194-P01LC026
SAMPLE_1171,lung-P01LC027,lung-M70-P01LC027
SAMPLE_1172,lung-P01LC029,lung-M225-P01LC029
SAMPLE_1173,lung-P01LC030,lung-M4-P01LC030
SAMPLE_1174,lung-P01LC031,lung-M44-P01LC031
SAMPLE_1175,lung-P01LC032,lung-M45-P01LC032
SAMPLE_1176,lung-P01LC033,lung-M206-P01LC033
SAMPLE_1177,lung-P01LC034,lung-M224-P01LC034
SAMPLE_1178,lung-P01LC035,lung-M218-P01LC035
SAMPLE_1179,lung-P01LC037,lung-M28-P01LC037
SAMPLE_1180,lung-P01LC038,lung-M22-P01LC038
SAMPLE_1181,lung-P01LC039,lung-M14-P01LC039
SAMPLE_1182,lung-P01LC043,lung-M26-P01LC043
SAMPLE_1183,lung-P01LC045,lung-M213-P01LC045
SAMPLE_1184,lung-P01LC046,lung-M23-P01LC046
SAMPLE_1185,lung-P01LC047,lung-M247-P01LC047
SAMPLE_1186,lung-P01LC049,lung-M43-P01LC049
SAMPLE_1187,lung-P01LC051,lung-M213-P01LC051
SAMPLE_1188,lung-P01LC052,lung-M178-P01LC052
SAMPLE_1189,lung-P01LC054,lung-M185-P01LC054
SAMPLE_1190,lung-P01LC056,lung-M176-P01LC056
SAMPLE_1191,lung-P01LC057,lung-M4-P01LC057
SAMPLE_1192,lung-P01LC058,lung-M243-P01LC058
SAMPLE_1193,lung-P01LC068,lung-M226-P01LC068
SAMPLE_1194,lung-P01LC073,lung-M97-P01LC073
SAMPLE_1195,lung-P01LC085,lung-M189-P01LC085
SAMPLE_1196,lung-P01LC091,lung-M96-P01LC091
SAMPLE_1197,lung-P01LC103,lung-M97-P01LC103
SAMPLE_1198,lung-P01LC108,lung-M189-P01LC108
SAMPLE_1199,lung-P01LC114,lung-M130-P01LC114
SAMPLE_1200,lung-P01LC130,lung-M227-P01LC130
SAMPLE_1201,lung-P01LC134,lung-M253-P01LC134
SAMPLE_1202,lung-P01LC135,lung-M180-P01LC135
SAMPLE_1203,lung-P01LC144,lung-M180-P01LC144
SAMPLE_1204,lung-P01LC160,lung-M87-P01LC160
SAMPLE_1205,lung-P01LC168,lung-M188-P01LC168
SAMPLE_1206,lung-P01LC172,lung-M179-P01LC172
SAMPLE_1207,lung-P01LC173,lung-M186-P01LC173
SAMPLE_1208,lung-P01LC179,lung-M184-P01LC179
SAMPLE_1209,lung-P01LC182,lung-M180-P01LC182
SAMPLE_1210,lung-P01LC184,lung-M247-P01LC184
SAMPLE_1211,lung-P01LC185,lung-M93-P01LC185
SAMPLE_1212,lung-P01LC186,lung-M99-P01LC186
SAMPLE_1213,lung-P01LC192,lung-M97-P01LC192
SAMPLE_1214,lung-P01LC197,lung-M247-P01LC197
SAMPLE_1215,lung-P01LC200,lung-M186-P01LC200
SAMPLE_1216,lung-P01LC205,lung-M179-P01LC205
SAMPLE_1217,lung-P01LC209,lung-M139-P01LC209
SAMPLE_1218,lung-P01LC210,lung-M180-P01LC210
SAMPLE_1219,lung-P01LC212,lung-M229-P01LC212
SAMPLE_1220,lung-P01LC213,lung-M87-P01LC213
SAMPLE_1221,lung-P01LC216,lung-M221-P01LC216
SAMPLE_1222,lung-P01LC230,lung-M207-P01LC230
SAMPLE_1223,lung-P01LC232,lung-M37-P01LC232
SAMPLE_1224,lung-P01LC233,lung-M214-P01LC233
SAMPLE_1225,lung-P01LC234,lung-M183-P01LC234
SAMPLE_1226,lung-P01LC238,lung-M229-P01LC238
SAMPLE_1227,lung-P01LC244,lung-M221-P01LC244
SAMPLE_1228,lung-P01LC250,lung-M94-P01LC250
SAMPLE_1229,lung-P01LC258,lung-M226-P01LC258
SAMPLE_1230,lung-P01LC260,lung-M94-P01LC260
SAMPLE_1231,lung-P01LC262,lung-M179-P01LC262
SAMPLE_1232,lung-P01LC263,lung-M180-P01LC263
SAMPLE_1233,lung-P01LC265,lung-M91-P01LC265
SAMPLE_1234,lung-P01LC274,lung-M84-P01LC274
SAMPLE_1235,lung-P01LC295,lung-M92-P01LC295
SAMPLE_1236,lung-P01LC296,lung-M89-P01LC296
SAMPLE_1237,lung-P01LC301,lung-M92-P01LC301
SAMPLE_1238,lung-P01LC315,lung-M91-P01LC315
SAMPLE_1239,lung-P01LC323,lung-M84-P01LC323
SAMPLE_1240,lung-P01LC342,lung-M84-P01LC342
SAMPLE_1241,lung-P01LC391,lung-M95-P01LC391
SAMPLE_1242,lung-P01LC398,lung-M84-P01LC398
SAMPLE_1243,lung-P01LC409,lung-M89-P01LC409
SAMPLE_1244,lung-P01LC411,lung-M87-P01LC411
SAMPLE_1245,lung-P01LC416,lung-M90-P01LC416
SAMPLE_1246,lung-P01LC456,lung-M95-P01LC456
SAMPLE_1247,lung-P01LC465,lung-M90-P01LC465
SAMPLE_1248,lung-P01LC476,lung-M194-P01LC476
SAMPLE_1249,lung-P01LC477,lung-M213-P01LC477
SAMPLE_1250,lung-P01LC478,lung-M212-P01LC478
SAMPLE_1251,lung-P01LC479,lung-M212-P01LC479
SAMPLE_1252,lung-P01LC480,lung-M224-P01LC480
SAMPLE_1253,lung-P01LC484,lung-M214-P01LC484
SAMPLE_1254,lung-P01LC486,lung-M247-P01LC486
SAMPLE_1255,lung-P01LC489,lung-M219-P01LC489
SAMPLE_1256,lung-P01LC490,lung-M175-P01LC490
SAMPLE_1257,lung-P01LC495,lung-M218-P01LC495
SAMPLE_1258,lung-P01LC497,lung-M214-P01LC497
SAMPLE_1259,lung-P01LC500,lung-M175-P01LC500
SAMPLE_1260,lung-P01LC501,lung-M234-P01LC501
SAMPLE_1261,lung-P01LC504,lung-M206-P01LC504
SAMPLE_1262,lung-P01LC505,lung-M220-P01LC505
SAMPLE_1263,lung-P01LC509,lung-M212-P01LC509
SAMPLE_1264,lung-P01LC512,lung-M231-P01LC512
SAMPLE_1265,lung-P01LC513,lung-M176-P01LC513
SAMPLE_1266,lung-P01LC514,lung-M43-P01LC514
SAMPLE_1267,lung-P01LC515,lung-M228-P01LC515
SAMPLE_1268,lung-P01LC516,lung-M201-P01LC516
SAMPLE_1269,lung-P01LC517,lung-M175-P01LC517
SAMPLE_1270,lung-P01LC519,lung-M247-P01LC519
SAMPLE_1271,lung-P01LC520,lung-M192-P01LC520
SAMPLE_1272,lung-P01LC523,lung-M212-P01LC523
SAMPLE_1273,lung-P01LC526,lung-M139-P01LC526
SAMPLE_1274,lung-P01LC528,lung-M164-P01LC528
SAMPLE_1275,lung-P01LC530,lung-M243-P01LC530
SAMPLE_1276,lung-P01LC531,lung-M177-P01LC531
SAMPLE_1277,lung-P01LC532,lung-M195-P01LC532
SAMPLE_1278,lung-P01LC533,lung-M248-P01LC533
SAMPLE_1279,lung-P01LC534,lung-M207-P01LC534
SAMPLE_1280,lung-P01LC536,lung-M220-P01LC536
SAMPLE_1281,lung-P01LC537,lung-M142-P01LC537
SAMPLE_1282,lung-P01LC538,lung-M185-P01LC538
SAMPLE_1283,lung-P01LC539,lung-M207-P01LC539
SAMPLE_1284,lung-P01LC544,lung-M185-P01LC544
SAMPLE_1285,lung-P01LC545,lung-M200-P01LC545
SAMPLE_1286,lung-P01LC546,lung-M212-P01LC546
SAMPLE_1287,lung-P01LC549,lung-M221-P01LC549
SAMPLE_1288,lung-P01LC552,lung-M200-P01LC552
SAMPLE_1289,lung-P01LC553,lung-M198-P01LC553
SAMPLE_1290,lung-P01LC554,lung-M207-P01LC554
SAMPLE_1291,lung-P01LC556,lung-M248-P01LC556
SAMPLE_1292,lung-P01LC557,lung-M157-P01LC557
SAMPLE_1293,lung-P01LC558,lung-M198-P01LC558
SAMPLE_1294,lung-P01LC561,lung-M196-P01LC561
SAMPLE_1295,lung-P01LC563,lung-M213-P01LC563
SAMPLE_1296,lung-P01LC566,lung-M202-P01LC566
SAMPLE_1297,lung-P01LC567,lung-M4-P01LC567
SAMPLE_1298,lung-P01LC568,lung-M185-P01LC568
SAMPLE_1299,lung-P01LC569,lung-M248-P01LC569
SAMPLE_1300,lung-P01LC572,lung-M185-P01LC572
SAMPLE_1301,lung-P01LC573,lung-M237-P01LC573
SAMPLE_1302,lung-P01LC574,lung-M248-P01LC574
SAMPLE_1303,lung-P01LC575,lung-M45-P01LC575
SAMPLE_1304,lung-P01LC580,lung-M163-P01LC580
SAMPLE_1305,lung-P01LC584,lung-M93-P01LC584
SAMPLE_1306,lung-P01LC597,lung-M96-P01LC597
SAMPLE_1307,lung-P01LC613,lung-M108-P01LC613
SAMPLE_1308,lung-P01LC629,lung-M93-P01LC629
SAMPLE_1309,lung-P01LC648,lung-M244-P01LC648
SAMPLE_1310,lung-P01LC679,lung-M188-P01LC679
SAMPLE_1311,lung-P01LC684,lung-M141-P01LC684
SAMPLE_1312,lung-P01LC686,lung-M184-P01LC686
SAMPLE_1313,lung-P01LC693,lung-M179-P01LC693
SAMPLE_1314,lung-P01LC703,lung-M83-P01LC703
SAMPLE_1315,lung-P01LC705,lung-M96-P01LC705
SAMPLE_1316,lung-P01LC706,lung-M184-P01LC706
SAMPLE_1317,lung-P01LC709,lung-M37-P01LC709
SAMPLE_1318,lung-P01LC710,lung-M96-P01LC710
SAMPLE_1319,lung-P01LC713,lung-M227-P01LC713
SAMPLE_1320,lung-P01LC714,lung-M182-P01LC714
SAMPLE_1321,lung-P01LC715,lung-M25-P01LC715
SAMPLE_1322,lung-P01LC716,lung-M98-P01LC716
SAMPLE_1323,lung-P01LC718,lung-M248-P01LC718
SAMPLE_1324,lung-P01LC721,lung-M130-P01LC721
SAMPLE_1325,lung-P01LC725,lung-M39-P01LC725
SAMPLE_1326,lung-P01LC728,lung-M164-P01LC728
SAMPLE_1327,lung-P01LC732,lung-M186-P01LC732
SAMPLE_1328,lung-P01LC736,lung-M178-P01LC736
SAMPLE_1329,lung-P01LC741,lung-M230-P01LC741
SAMPLE_1330,lung-P01LC749,lung-M196-P01LC749
SAMPLE_1331,lung-P01LC750,lung-M229-P01LC750
SAMPLE_1332,lung-P01LC752,lung-M180-P01LC752
SAMPLE_1333,lung-P01LC758,lung-M85-P01LC758
SAMPLE_1334,lung-P01LC764,lung-M26-P01LC764
SAMPLE_1335,lung-P01LC766,lung-M207-P01LC766
SAMPLE_1336,lung-P01LC768,lung-M83-P01LC768
SAMPLE_1337,lung-P01LC773,lung-M181-P01LC773
SAMPLE_1338,lung-P01LC774,lung-M98-P01LC774
SAMPLE_1339,lung-P01LC781,lung-M37-P01LC781
SAMPLE_1340,lung-P01LC782,lung-M181-P01LC782
SAMPLE_1341,lung-P01LC784,lung-M234-P01LC784
SAMPLE_1342,lung-P01LC785,lung-M248-P01LC785
SAMPLE_1343,lung-P01LC786,lung-M195-P01LC786
SAMPLE_1344,lung-P01LC789,lung-M248-P01LC789
SAMPLE_1345,lung-P01LC793,lung-M178-P01LC793
SAMPLE_1346,lung-P01LC796,lung-M230-P01LC796
SAMPLE_1347,lung-P01LC797,lung-M188-P01LC797
SAMPLE_1348,lung-P01LC798,lung-M225-P01LC798
SAMPLE_1349,lung-P01LC799,lung-M225-P01LC799
SAMPLE_1350,lung-P01LC800,lung-M244-P01LC800
SAMPLE_1351,lung-P01LC801,lung-M200-P01LC801
SAMPLE_1352,lung-P01LC802,lung-M244-P01LC802
SAMPLE_1353,lung-P01LC803,lung-M234-P01LC803
SAMPLE_1354,lung-P01LC804,lung-M221-P01LC804
SAMPLE_1355,lung-P01LC805,lung-M220-P01LC805
SAMPLE_1356,lung-P01LC807,lung-M190-P01LC807
SAMPLE_1357,lung-P01LC810,lung-M249-P01LC810
SAMPLE_1358,lung-P01LC811,lung-M249-P01LC811
SAMPLE_1359,lung-P01LC812,lung-M234-P01LC812
SAMPLE_1360,lung-P01LC813,lung-M182-P01LC813
SAMPLE_1361,lung-P01LC815,lung-M233-P01LC815
SAMPLE_1362,lung-P01LC818,lung-M219-P01LC818
SAMPLE_1363,lung-P01LC820,lung-M230-P01LC820
SAMPLE_1364,lung-P01LC821,lung-M182-P01LC821
SAMPLE_1365,lung-P01LC825,lung-M249-P01LC825
SAMPLE_1366,lung-P01LC826,lung-M226-P01LC826
SAMPLE_1367,lung-P01LC829,lung-M198-P01LC829
SAMPLE_1368,lung-P01LC830,lung-M249-P01LC830
SAMPLE_1369,lung-P01LC831,lung-M249-P01LC831
SAMPLE_1370,lung-P01LC833,lung-M187-P01LC833
SAMPLE_1371,lung-P01LC834,lung-M182-P01LC834
SAMPLE_1372,lung-P01LC836,lung-M184-P01LC836
SAMPLE_1373,lung-P01LC838,lung-M181-P01LC838
SAMPLE_1374,lung-P01LC840,lung-M230-P01LC840
SAMPLE_1375,lung-P01LC841,lung-M237-P01LC841
SAMPLE_1376,lung-P01LC845,lung-M187-P01LC845
SAMPLE_1377,lung-P01LC846,lung-M244-P01LC846
SAMPLE_1378,lung-P01LC848,lung-M179-P01LC848
SAMPLE_1379,lung-P01LC850,lung-M196-P01LC850
SAMPLE_1380,lung-P01LC852,lung-M194-P01LC852
SAMPLE_1381,lung-P01LC853,lung-M212-P01LC853
SAMPLE_1382,lung-P01LC855,lung-M230-P01LC855
SAMPLE_1383,lung-P01LC857,lung-M176-P01LC857
SAMPLE_1384,lung-P01LC858,lung-M224-P01LC858
SAMPLE_1385,lung-P01LC864,lung-M178-P01LC864
SAMPLE_1386,lung-P01LC865,lung-M184-P01LC865
SAMPLE_1387,lung-P01LC866,lung-M214-P01LC866
SAMPLE_1388,lung-P01LC869,lung-M225-P01LC869
SAMPLE_1389,lung-P01LC872,lung-M195-P01LC872
SAMPLE_1390,lung-P01LC874,lung-M190-P01LC874
SAMPLE_1391,lung-P01LC875,lung-M193-P01LC875
SAMPLE_1392,lung-P01LC877,lung-M180-P01LC877
SAMPLE_1393,lung-P01LC882,lung-M183-P01LC882
SAMPLE_1394,lung-P01LC883,lung-M249-P01LC883
SAMPLE_1395,lung-P01LC884,lung-M185-P01LC884
SAMPLE_1396,lung-P01LC889,lung-M181-P01LC889
SAMPLE_1397,lung-P01LC890,lung-M188-P01LC890
SAMPLE_1398,lung-P01LC891,lung-M252-P01LC891
SAMPLE_1399,lung-P01LC895,lung-M220-P01LC895
SAMPLE_1400,lung-P01LC897,lung-M249-P01LC897
SAMPLE_1401,lung-P01LC899,lung-M186-P01LC899
SAMPLE_1402,lung-P01LC901,lung-M230-P01LC901
SAMPLE_1403,lung-P01LC904,lung-M181-P01LC904
SAMPLE_1404,lung-P01LC907,lung-M196-P01LC907
SAMPLE_1405,lung-P01LC908,lung-M3-P01LC908
SAMPLE_1406,lung-P01LC910,lung-M206-P01LC910
SAMPLE_1407,lung-P01LC911,lung-M139-P01LC911
SAMPLE_1408,lung-P01LC912,lung-M196-P01LC912
SAMPLE_1409,lung-P01LC914,lung-M220-P01LC914
SAMPLE_1410,lung-P01LC917,lung-M244-P01LC917
SAMPLE_1411,lung-P01LC920,lung-M231-P01LC920
SAMPLE_1412,lung-P01LC921,lung-M195-P01LC921
SAMPLE_1413,lung-P01LC923,lung-M184-P01LC923
SAMPLE_1414,lung-P01LC924,lung-M230-P01LC924
SAMPLE_1415,lung-P01LC928,lung-M224-P01LC928
SAMPLE_1416,lung-P01LC929,lung-M178-P01LC929
SAMPLE_1417,lung-P01LC931,lung-M216-P01LC931
SAMPLE_1418,lung-P01LC932,lung-M223-P01LC932
SAMPLE_1419,lung-P01LC937,lung-M188-P01LC937
SAMPLE_1420,lung-P01LC939,lung-M193-P01LC939
SAMPLE_1421,lung-P01LC942,lung-M164-P01LC942
SAMPLE_1422,lung-P01LC943,lung-M230-P01LC943
SAMPLE_1423,lung-P01LC946,lung-M179-P01LC946
SAMPLE_1424,lung-P01LC947,lung-M3-P01LC947
SAMPLE_1425,lung-P01LC950,lung-M200-P01LC950
SAMPLE_1426,lung-P01LC952,lung-M205-P01LC952
SAMPLE_1427,lung-P01LC954,lung-M98-P01LC954
SAMPLE_1428,lung-P01LC955,lung-M187-P01LC955
SAMPLE_1429,lung-P01LC958,lung-M219-P01LC958
SAMPLE_1430,lung-P01LC959,lung-M172-P01LC959
SAMPLE_1431,lung-P01LC960,lung-M184-P01LC960
SAMPLE_1432,lung-P01LC965,lung-M227-P01LC965
SAMPLE_1433,lung-P01LC969,lung-M189-P01LC969
SAMPLE_1434,lung-P01LC970,lung-M29-P01LC970
SAMPLE_1435,lung-P01LC974,lung-M173-P01LC974
SAMPLE_1436,lung-P01LC975,lung-M222-P01LC975
SAMPLE_1437,lung-P01LC977,lung-M172-P01LC977
SAMPLE_1438,lung-P01LC985,lung-M5-P01LC985
SAMPLE_1439,lung-P01LC986,lung-M249-P01LC986
SAMPLE_1440,lung-P01LC992,lung-M196-P01LC992
SAMPLE_1441,lung-P01LD002,lung-M214-P01LD002
SAMPLE_1442,lung-P01LD003,lung-M232-P01LD003
SAMPLE_1443,lung-P01LD004,lung-M198-P01LD004
SAMPLE_1444,lung-P01LD005,lung-M214-P01LD005
SAMPLE_1445,lung-P01LD006,lung-M142-P01LD006
SAMPLE_1446,lung-P01LD007,lung-M249-P01LD007
SAMPLE_1447,lung-P01LD008,lung-M206-P01LD008
SAMPLE_1448,lung-P01LD012,lung-M213-P01LD012
SAMPLE_1449,lung-P01LD013,lung-M206-P01LD013
SAMPLE_1450,lung-P01LD018,lung-M186-P01LD018
SAMPLE_1451,lung-P01LD019,lung-M244-P01LD019
SAMPLE_1452,lung-P01LD025,lung-M36-P01LD025
SAMPLE_1453,lung-P01LD030,lung-M250-P01LD030
SAMPLE_1454,lung-P01LD031,lung-M228-P01LD031
SAMPLE_1455,lung-P01LD035,lung-M141-P01LD035
SAMPLE_1456,lung-P01LD037,lung-M214-P01LD037
SAMPLE_1457,lung-P01LD043,lung-M229-P01LD043
SAMPLE_1458,lung-P01LD044,lung-M182-P01LD044
SAMPLE_1459,lung-P01LD046,lung-M233-P01LD046
SAMPLE_1460,lung-P01LD047,lung-M4-P01LD047
SAMPLE_1461,lung-P01LD050,lung-M226-P01LD050
SAMPLE_1462,lung-P01LD051,lung-M46-P01LD051
SAMPLE_1463,lung-P01LD052,lung-M179-P01LD052
SAMPLE_1464,lung-P01LD053,lung-M182-P01LD053
SAMPLE_1465,lung-P01LD054,lung-M181-P01LD054
SAMPLE_1466,lung-P01LD056,lung-M244-P01LD056
SAMPLE_1467,lung-P01LD057,lung-M182-P01LD057
SAMPLE_1468,lung-P01LD059,lung-M29-P01LD059
SAMPLE_1469,lung-P01LD061,lung-M212-P01LD061
SAMPLE_1470,lung-P01LD063,lung-M250-P01LD063
SAMPLE_1471,lung-P01LD064,lung-M244-P01LD064
SAMPLE_1472,lung-P01LD065,lung-M226-P01LD065
SAMPLE_1473,lung-P01LD067,lung-M231-P01LD067
SAMPLE_1474,lung-P01LD069,lung-M179-P01LD069
SAMPLE_1475,lung-P01LD076,lung-M212-P01LD076
SAMPLE_1476,lung-P01LD077,lung-M142-P01LD077
SAMPLE_1477,lung-P01LD079,lung-M244-P01LD079
SAMPLE_1478,lung-P01LD081,lung-M228-P01LD081
SAMPLE_1479,lung-P01LD083,lung-M235-P01LD083
SAMPLE_1480,lung-P01LD085,lung-M206-P01LD085
SAMPLE_1481,lung-P01LD088,lung-M244-P01LD088
SAMPLE_1482,lung-P01LD090,lung-M198-P01LD090
SAMPLE_1483,lung-P01LD093,lung-M250-P01LD093
SAMPLE_1484,lung-P01LD094,lung-M111-P01LD094
SAMPLE_1485,lung-P01LD095,lung-M196-P01LD095
SAMPLE_1486,lung-P01LD096,lung-M221-P01LD096
SAMPLE_1487,lung-P01LD097,lung-M182-P01LD097
SAMPLE_1488,lung-P01LD098,lung-M186-P01LD098
SAMPLE_1489,lung-P01LD099,lung-M221-P01LD099
SAMPLE_1490,lung-P01LD104,lung-M98-P01LD104
SAMPLE_1491,lung-P01LD114,lung-M227-P01LD114
SAMPLE_1492,lung-P01LD116,lung-M180-P01LD116
SAMPLE_1493,lung-P01LD119,lung-M230-P01LD119
SAMPLE_1494,lung-P01LD122,lung-M250-P01LD122
SAMPLE_1495,lung-P01LD127,lung-M228-P01LD127
SAMPLE_1496,lung-P01LD134,lung-M97-P01LD134
SAMPLE_1497,lung-P01LD136,lung-M177-P01LD136
SAMPLE_1498,lung-P01LD143,lung-M111-P01LD143
SAMPLE_1499,lung-P01LD148,lung-M250-P01LD148
SAMPLE_1500,lung-P01LD150,lung-M221-P01LD150
SAMPLE_1501,lung-P01LD155,lung-M228-P01LD155
SAMPLE_1502,lung-P01LD157,lung-M226-P01LD157
SAMPLE_1503,lung-P01LD158,lung-M178-P01LD158
SAMPLE_1504,lung-P01LD159,lung-M186-P01LD159
SAMPLE_1505,lung-P01LD160,lung-M91-P01LD160
SAMPLE_1506,lung-P01LD166,lung-M111-P01LD166
SAMPLE_1507,lung-P01LD169,lung-M94-P01LD169
SAMPLE_1508,lung-P01LD170,lung-M229-P01LD170
SAMPLE_1509,lung-P01LD174,lung-M250-P01LD174
SAMPLE_1510,lung-P01LD176,lung-M208-P01LD176
SAMPLE_1511,lung-P01LD180,lung-M228-P01LD180
SAMPLE_1512,lung-P01LD181,lung-M142-P01LD181
SAMPLE_1513,lung-P01LD185,lung-M187-P01LD185
SAMPLE_1514,lung-P01LD190,lung-M111-P01LD190
SAMPLE_1515,lung-P01LD191,lung-M225-P01LD191
SAMPLE_1516,lung-P01LD193,lung-M163-P01LD193
SAMPLE_1517,lung-P01LD200,lung-M91-P01LD200
SAMPLE_1518,lung-P01LD206,lung-M89-P01LD206
SAMPLE_1519,lung-P01LD228,lung-M109-P01LD228
SAMPLE_1520,lung-P01LD236,lung-M95-P01LD236
SAMPLE_1521,lung-P01LD267,lung-M321-P01LD267
SAMPLE_1522,lung-P01LD294,lung-M91-P01LD294
SAMPLE_1523,lung-P01LD295,lung-M108-P01LD295
SAMPLE_1524,lung-P01LD300,lung-M83-P01LD300
SAMPLE_1525,lung-P01LD301,lung-M237-P01LD301
SAMPLE_1526,lung-P01LD310,lung-M317-P01LD310
SAMPLE_1527,lung-P01LD311,lung-M86-P01LD311
SAMPLE_1528,lung-P01LD325,lung-M87-P01LD325
SAMPLE_1529,lung-P01LD330,lung-M87-P01LD330
SAMPLE_1530,lung-P01LD333,lung-M83-P01LD333
SAMPLE_1531,lung-P01LD366,lung-M91-P01LD366
SAMPLE_1532,lung-P01LD435,lung-M87-P01LD435
SAMPLE_1533,lung-P01LD437,lung-M130-P01LD437
SAMPLE_1534,lung-P01LD444,lung-M108-P01LD444
SAMPLE_1535,lung-P01LD458,lung-M1-P01LD458
SAMPLE_1536,lung-P01LD474,lung-M97-P01LD474
SAMPLE_1537,lung-P01LD480,lung-M229-P01LD480
SAMPLE_1538,lung-P01LD485,lung-M97-P01LD485
SAMPLE_1539,lung-P01LD487,lung-M328-P01LD487
SAMPLE_1540,lung-P01LD514,lung-M86-P01LD514
SAMPLE_1541,lung-P01LD515,lung-M86-P01LD515
SAMPLE_1542,lung-P01LD528,lung-M323-P01LD528
SAMPLE_1543,lung-P01LD562,lung-M93-P01LD562
SAMPLE_1544,lung-P01LD571,lung-M83-P01LD571
SAMPLE_1545,lung-P01LD580,lung-M87-P01LD580
SAMPLE_1546,lung-P01LD587,lung-M92-P01LD587
SAMPLE_1547,lung-P01LD595,lung-M88-P01LD595
SAMPLE_1548,lung-P01LD596,lung-M321-P01LD596
SAMPLE_1549,lung-P01LD607,lung-M237-P01LD607
SAMPLE_1550,lung-P01LD608,lung-M87-P01LD608
SAMPLE_1551,lung-P01LD642,lung-M86-P01LD642
SAMPLE_1552,lung-P01LD668,lung-M107-P01LD668
SAMPLE_1553,lung-P01LD685,lung-M108-P01LD685
SAMPLE_1554,lung-P01LD690,lung-M86-P01LD690
SAMPLE_1555,lung-P01LD698,lung-M85-P01LD698
SAMPLE_1556,lung-P01LD699,lung-M87-P01LD699
SAMPLE_1557,lung-P01LD707,lung-M86-P01LD707
SAMPLE_1558,lung-P01LD735,lung-M85-P01LD735
SAMPLE_1559,lung-P01LD745,lung-M90-P01LD745
SAMPLE_1560,lung-P01LD748,lung-M107-P01LD748
SAMPLE_1561,lung-P01LD760,lung-M327-P01LD760
SAMPLE_1562,lung-P01LD763,lung-M320-P01LD763
SAMPLE_1563,lung-P01LD774,lung-M328-P01LD774
SAMPLE_1564,lung-P01LD782,lung-M318-P01LD782
SAMPLE_1565,lung-P01LD793,lung-M326-P01LD793
SAMPLE_1566,lung-P01LD797,lung-M88-P01LD797
SAMPLE_1567,lung-P01LD802,lung-M99-P01LD802
SAMPLE_1568,lung-P01LD824,lung-M108-P01LD824
SAMPLE_1569,lung-P01LD831,lung-M317-P01LD831
SAMPLE_1570,lung-P01LD838,lung-M327-P01LD838
SAMPLE_1571,lung-P01LD840,lung-M324-P01LD840
SAMPLE_1572,lung-P01LD842,lung-M88-P01LD842
SAMPLE_1573,lung-P01LD843,lung-M88-P01LD843
SAMPLE_1574,lung-P01LD851,lung-M324-P01LD851
SAMPLE_1575,lung-P01LD855,lung-M90-P01LD855
SAMPLE_1576,lung-P01LD870,lung-M90-P01LD870
SAMPLE_1577,lung-P01LD873,lung-M90-P01LD873
SAMPLE_1578,lung-P01LD880,lung-M85-P01LD880
SAMPLE_1579,lung-P01LD883,lung-M327-P01LD883
SAMPLE_1580,lung-P01LD885,lung-M322-P01LD885
SAMPLE_1581,lung-P01LD887,lung-M89-P01LD887
SAMPLE_1582,lung-P01LD895,lung-M316-P01LD895
SAMPLE_1583,lung-P01LD908,lung-M323-P01LD908
SAMPLE_1584,lung-P01LD910,lung-M311-P01LD910
SAMPLE_1585,lung-P01LD913,lung-M322-P01LD913
SAMPLE_1586,lung-P01LD914,lung-M328-P01LD914
SAMPLE_1587,lung-P01LD921,lung-M329-P01LD921
SAMPLE_1588,lung-P01LD925,lung-M316-P01LD925
SAMPLE_1589,lung-P01LD928,lung-M325-P01LD928
SAMPLE_1590,lung-P01LD931,lung-M253-P01LD931
SAMPLE_1591,lung-P01LD936,lung-M318-P01LD936
SAMPLE_1592,lung-P01LD943,lung-M329-P01LD943
SAMPLE_1593,lung-P01LD948,lung-M324-P01LD948
SAMPLE_1594,lung-P01LD950,lung-M329-P01LD950
SAMPLE_1595,lung-P01LD953,lung-M313-M313-P01LD953
